model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lightgbm,LGBM_02,1729,D2,MSFT,volatility,low_volatility,108,0.0095955320264389816,0.012529659579039839,0.5,0.5092592592592593,reportable,0.0093745160670044916,-0.023576252667847131,0.52777777777777779,-0.02777777777777779
lightgbm,LGBM_02,1729,D2,MSFT,transition,transition,52,0.011614449878502804,0.014963145857488458,0.61538461538461542,0.59615384615384615,reportable,0.012093613058002328,0.039621176665848634,0.42307692307692307,0.19230769230769235
lightgbm,LGBM_02,1729,D2,MSFT,transition,stable,200,0.0098303359400044935,0.012717265599325272,0.47999999999999998,0.51000000000000001,reportable,0.0096218315615317681,-0.021669926057147793,0.51500000000000001,-0.035000000000000031
lightgbm,LGBM_02,1729,D2,GOOGL,trend,negative_trend,2,0.012276690440295201,0.013150157849842546,1,1,descriptive_low_n,0.012898788048398951,0.048229151899349731,0,1
lightgbm,LGBM_02,1729,D2,GOOGL,trend,positive_trend,250,0.010894274319704529,0.015227652679690944,0.56799999999999995,0.56799999999999995,reportable,0.011043204576597829,0.013486144883062767,0.50800000000000001,0.059999999999999942
lightgbm,LGBM_02,1729,D2,GOOGL,volatility,high_volatility,144,0.011224211867860589,0.015832227069793713,0.59027777777777779,0.59027777777777779,reportable,0.011450653560951141,0.01977543830884565,0.47222222222222221,0.11805555555555558
lightgbm,LGBM_02,1729,D2,GOOGL,volatility,low_volatility,108,0.010479957887359235,0.014344068725753466,0.54629629629629628,0.54629629629629628,reportable,0.01053430192101195,0.0051587693290164882,0.54629629629629628,0
lightgbm,LGBM_02,1729,D2,GOOGL,transition,transition,52,0.011306847992325538,0.015833765940222361,0.61538461538461542,0.61538461538461542,reportable,0.011622591469613558,0.027166357702024468,0.5,0.11538461538461542
lightgbm,LGBM_02,1729,D2,GOOGL,transition,stable,200,0.010800829326028971,0.015046491510662788,0.56000000000000005,0.56000000000000005,reportable,0.010911119819131752,0.010108081932103441,0.505,0.055000000000000049
lightgbm,LGBM_02,1729,D2,NVDA,trend,negative_trend,2,0.022306732459207102,0.02458026414208345,1,1,descriptive_low_n,0.024336179130442649,0.083392165235045779,0,1
